               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              2.0698,              6.7808,               3.205,           0.0029303,             0.81008,           0.0080667,           0.0069853,                   0,                   0,                   0,            0.073029,           0.0063266,           0.0063266
                   1,             0.73473,              5.4129,              1.6779,           0.0035051,             0.93194,            0.016996,            0.016695,                   0,                   0,                   0,            0.046004,            0.012635,            0.012635
                   2,             0.55284,              4.9655,              1.4276,           0.0043884,             0.78647,            0.014036,            0.013462,                   0,                   0,                   0,            0.018954,            0.018919,            0.018919
                   3,             0.51234,              4.6729,              1.3774,           0.0043651,             0.92241,            0.040707,            0.039288,                   0,                   0,                   0,            0.018888,            0.018888,            0.018888
                   4,             0.42023,              4.4447,              1.3042,             0.70538,            0.095719,             0.06799,            0.066955,                   0,                   0,                   0,            0.018888,            0.018888,            0.018888
                   5,             0.39062,              4.3156,              1.2742,             0.81722,            0.054739,            0.080205,            0.079081,                   0,                   0,                   0,            0.018851,            0.018851,            0.018851
                   6,              0.3682,              4.2161,                1.26,             0.72879,            0.098187,             0.11386,             0.11315,                   0,                   0,                   0,            0.018814,            0.018814,            0.018814
                   7,             0.33827,              4.1143,              1.2398,             0.60832,             0.12632,             0.10633,             0.10438,                   0,                   0,                   0,            0.018776,            0.018776,            0.018776
                   8,               0.334,              4.0533,               1.235,             0.66224,             0.15063,             0.15767,             0.15562,                   0,                   0,                   0,            0.018739,            0.018739,            0.018739
                   9,             0.31773,              3.9934,              1.2228,             0.68254,             0.14852,             0.14621,             0.14471,                   0,                   0,                   0,            0.018702,            0.018702,            0.018702
                  10,             0.30983,              3.9514,              1.2206,             0.64908,             0.17003,             0.18623,             0.18402,                   0,                   0,                   0,            0.018664,            0.018664,            0.018664
                  11,             0.29975,              3.9041,               1.214,             0.68162,             0.16905,             0.18889,             0.18743,                   0,                   0,                   0,            0.018627,            0.018627,            0.018627
                  12,             0.29802,              3.8614,              1.2126,              0.6297,             0.20806,              0.2287,             0.22673,                   0,                   0,                   0,             0.01859,             0.01859,             0.01859
                  13,             0.28778,              3.8198,              1.2033,              0.6254,             0.19924,             0.22571,             0.22461,                   0,                   0,                   0,            0.018553,            0.018553,            0.018553
                  14,              0.2888,              3.7813,              1.2104,             0.66254,              0.2097,             0.25702,             0.25627,                   0,                   0,                   0,            0.018515,            0.018515,            0.018515
                  15,               0.283,              3.7292,              1.2031,             0.62399,             0.22739,             0.24207,             0.24099,                   0,                   0,                   0,            0.018478,            0.018478,            0.018478
                  16,             0.28014,              3.7009,              1.2023,             0.54546,             0.24948,             0.26372,             0.26372,                   0,                   0,                   0,            0.018441,            0.018441,            0.018441
                  17,             0.27032,              3.6594,              1.1924,             0.60413,             0.25278,              0.2648,             0.26378,                   0,                   0,                   0,            0.018404,            0.018404,            0.018404
                  18,             0.27326,              3.6359,              1.1993,             0.60887,             0.26634,             0.28526,             0.28516,                   0,                   0,                   0,            0.018366,            0.018366,            0.018366
                  19,             0.26891,              3.6077,              1.1944,             0.60266,             0.27048,             0.30711,             0.30575,                   0,                   0,                   0,            0.018329,            0.018329,            0.018329
                  20,             0.26595,              3.5577,               1.195,             0.62124,             0.27094,              0.3065,             0.30619,                   0,                   0,                   0,            0.018292,            0.018292,            0.018292
                  21,             0.26081,              3.5195,              1.1923,             0.67587,             0.26736,             0.33123,             0.33017,                   0,                   0,                   0,            0.018254,            0.018254,            0.018254
                  22,             0.26117,              3.4922,              1.1877,             0.60924,             0.28864,             0.32379,             0.32314,                   0,                   0,                   0,            0.018217,            0.018217,            0.018217
                  23,             0.25752,              3.4627,               1.187,             0.69654,             0.27329,             0.33971,             0.33955,                   0,                   0,                   0,             0.01818,             0.01818,             0.01818
                  24,             0.25794,              3.4612,              1.1834,             0.58571,             0.30792,             0.33522,             0.33469,                   0,                   0,                   0,            0.018143,            0.018143,            0.018143
                  25,              0.2592,              3.4437,              1.1887,             0.54969,             0.32279,              0.3504,             0.34962,                   0,                   0,                   0,            0.018105,            0.018105,            0.018105
                  26,             0.25646,              3.4106,              1.1834,             0.58635,             0.31629,             0.34907,             0.34845,                   0,                   0,                   0,            0.018068,            0.018068,            0.018068
                  27,             0.25241,              3.4044,              1.1832,             0.66667,             0.30108,             0.35965,             0.35927,                   0,                   0,                   0,            0.018031,            0.018031,            0.018031
                  28,             0.24885,              3.3584,              1.1812,             0.67071,             0.31955,             0.37096,             0.37084,                   0,                   0,                   0,            0.017993,            0.017993,            0.017993
                  29,             0.24893,              3.3505,              1.1844,             0.61291,             0.33635,             0.38423,             0.38259,                   0,                   0,                   0,            0.017956,            0.017956,            0.017956
                  30,             0.24905,              3.3452,              1.1839,             0.60232,             0.33204,             0.37279,             0.37268,                   0,                   0,                   0,            0.017919,            0.017919,            0.017919
